pwm0;pwm1;pwm2;pwm3;pwm4;pwm5;pwm6;pwm7
0.36540943;0.36438414;0.36104193;0.3549592;0.35598448;0.3593267;0.0;0.0
0.36742845;0.36752892;0.3630725;0.35794458;0.3578441;0.36230052;0.0;0.0
0.37012726;0.36978003;0.36591306;0.36025143;0.36059865;0.36446562;0.0;0.0
0.37514594;0.36883163;0.37170458;0.36023608;0.3665504;0.36367744;0.0;0.0
0.3795956;0.37087095;0.37420535;0.36078843;0.3695131;0.3661787;0.0;0.0
0.38105816;0.3696714;0.37794006;0.35932773;0.3707145;0.36244583;0.0;0.0
0.38106152;0.3696894;0.3779871;0.35932675;0.37069887;0.3624012;0.0;0.0
0.37765092;0.37833178;0.37253743;0.3677343;0.36705345;0.3728478;0.0;0.0
0.37501118;0.3793866;0.37095284;0.3703747;0.36599928;0.37443304;0.0;0.0
0.37748978;0.3819008;0.3734637;0.37289903;0.368488;0.3769251;0.0;0.0
0.37600794;0.38463375;0.37087318;0.37438002;0.36575422;0.37951478;0.0;0.0
0.37851673;0.3871458;0.37335405;0.3768744;0.36824533;0.38203707;0.0;0.0
0.37869927;0.3859736;0.37481102;0.37669167;0.36941734;0.38057992;0.0;0.0
0.3841948;0.3867211;0.37859055;0.3761999;0.3736736;0.38180414;0.0;0.0
0.38815263;0.3861168;0.38496548;0.37724456;0.3792804;0.3804317;0.0;0.0
0.39771292;0.38263425;0.39369878;0.37268928;0.38776794;0.3767034;0.0;0.0
0.39771506;0.3826465;0.39371818;0.37268856;0.38775712;0.37668544;0.0;0.0
0.39382446;0.38465047;0.39121705;0.37657773;0.38575175;0.3791851;0.0;0.0
0.39271957;0.3946223;0.3862773;0.38268912;0.3807864;0.3891314;0.0;0.0
0.38505602;0.3982903;0.38082024;0.3903497;0.3771154;0.39458546;0.0;0.0
0.38750374;0.40078467;0.38328195;0.39290094;0.37962002;0.39712274;0.0;0.0
0.38669655;0.40925714;0.381808;0.39871052;0.37614992;0.40359905;0.0;0.0
0.39983243;0.39836088;0.3964285;0.39057606;0.3920476;0.39398;0.0;0.0
0.40626553;0.39510855;0.40193316;0.3841457;0.39530268;0.38847807;0.0;0.0
0.41037023;0.3938002;0.4059258;0.38504457;0.4016146;0.389489;0.0;0.0
0.40633392;0.39658365;0.4035521;0.38907725;0.39882752;0.39185908;0.0;0.0
0.406309;0.39656064;0.40350524;0.389098;0.39884636;0.39190176;0.0;0.0
0.40564603;0.4106526;0.39866307;0.39474988;0.3897433;0.40173283;0.0;0.0
0.4081933;0.41325402;0.40122128;0.39721447;0.39215374;0.4041865;0.0;0.0
0.3986073;0.413767;0.39253023;0.40679175;0.39163205;0.41286883;0.0;0.0
0.4086636;0.41503593;0.3997976;0.401718;0.39534566;0.410584;0.0;0.0
0.40963084;0.40156105;0.41092905;0.40073723;0.408807;0.399439;0.0;0.0
0.41207704;0.40389466;0.4134398;0.40328017;0.41146255;0.4019174;0.0;0.0
0.4255501;0.40619746;0.41506317;0.3898142;0.40916684;0.40030113;0.0;0.0
0.43598863;0.40567702;0.42474782;0.38438085;0.41469246;0.39562166;0.0;0.0
0.4119222;0.40745524;0.40981767;0.40843436;0.4129013;0.41053888;0.0;0.0
0.41427246;0.40990782;0.41221052;0.41107628;0.41544092;0.4131382;0.0;0.0
0.42453623;0.41135377;0.4245805;0.40082026;0.41400272;0.40077597;0.0;0.0
0.41828042;0.41686964;0.41753846;0.41208196;0.41349274;0.41282392;0.0;0.0
0.41984418;0.4210582;0.41710463;0.4155356;0.41432157;0.41827515;0.0;0.0
0.41983715;0.42099398;0.41712207;0.41553923;0.4143824;0.41825432;0.0;0.0
0.42189708;0.42390814;0.41478053;0.41348287;0.4114718;0.42059943;0.0;0.0
0.4244274;0.42645812;0.4172876;0.41595954;0.4139288;0.42309934;0.0;0.0
0.4257744;0.42363048;0.4216534;0.41961002;0.42175394;0.42373103;0.0;0.0
0.42573413;0.42357695;0.42162102;0.41964433;0.4218015;0.42375743;0.0;0.0
0.42951077;0.42593226;0.42619726;0.41587192;0.41945043;0.41918543;0.0;0.0
0.43205264;0.4284647;0.42872095;0.41833624;0.42192417;0.42166793;0.0;0.0
0.43145812;0.43053505;0.4302707;0.423931;0.42485407;0.42511842;0.0;0.0
0.42980212;0.43314898;0.42534763;0.42558426;0.4222374;0.43003875;0.0;0.0
0.42978498;0.4331353;0.42530432;0.4255986;0.42224827;0.43007925;0.0;0.0
0.43306285;0.4339012;0.42838717;0.4223237;0.42148536;0.4269994;0.0;0.0
0.43564987;0.4341369;0.42776176;0.4247387;0.42625168;0.4326268;0.0;0.0
0.4334266;0.43432534;0.42937362;0.42696103;0.4260623;0.431014;0.0;0.0
0.43591624;0.43683258;0.4318885;0.42947394;0.4285576;0.4335017;0.0;0.0
0.44711775;0.43664792;0.44430295;0.4232936;0.4337634;0.4261084;0.0;0.0
0.4412428;0.43589282;0.4370309;0.42916524;0.43451524;0.43337715;0.0;0.0
0.44025525;0.43716583;0.43842658;0.4301463;0.43323573;0.43197498;0.0;0.0
0.44273818;0.4396535;0.44092712;0.43266338;0.43574807;0.43447444;0.0;0.0
0.45144168;0.43748546;0.44782585;0.42897072;0.44292694;0.43258655;0.0;0.0
0.44075516;0.440411;0.44184706;0.43964544;0.4399896;0.43855354;0.0;0.0
0.45840484;0.44268847;0.4496628;0.42700464;0.442721;0.43574667;0.0;0.0
0.45851505;0.4427362;0.4497127;0.4269051;0.44268394;0.43570745;0.0;0.0
0.45096606;0.4440574;0.44579232;0.43445504;0.4413637;0.43962878;0.0;0.0
