idSensor;source;status;quality;flowCompX;flowCompY;groundDistance;flowX;flowY;timestamp;index
0;0;1;50;-0.012446166;-0.0032376638;0.378;0;0;36691953;175
0;0;1;48;0.0062219817;-0.010483026;0.378;0;0;36691960;176
0;0;1;48;-0.015084296;-0.0010115373;0.378;0;0;36691968;177
0;0;1;48;-0.0029870304;-0.0020540054;0.378;0;0;36691976;178
0;0;1;46;0.0026237392;-0.0047249123;0.378;0;0;36691984;179
0;0;1;55;0.007982417;-0.015497301;0.377;0;0;36691992;180
0;0;1;50;-0.0018178631;-0.0010507319;0.377;0;0;36692003;181
0;0;1;52;-9.64697E-4;-0.003610241;0.377;0;0;36692011;182
0;0;1;50;0.0021986915;-0.0033199035;0.377;0;0;36692023;183
0;0;1;44;2.8494745E-4;-0.0037503443;0.377;0;0;36692031;184
0;0;1;51;-0.0094443085;0.0023160316;0.377;0;0;36692039;185
0;0;1;53;-0.0022006026;-0.0013252152;0.377;0;0;36692046;186
0;0;1;50;-2.9593613E-4;-0.008207974;0.377;0;0;36692054;187
0;0;1;53;-0.0018238574;-0.0028491886;0.377;0;0;36692066;188
0;0;1;50;-2.9961602E-4;-0.004393199;0.377;0;0;36692074;189
0;0;1;52;-1.2957543E-4;-0.012646072;0.377;0;0;36692082;190
0;0;1;52;-0.004910834;0.0018413612;0.379;0;0;36692089;191
0;0;1;49;-0.006953705;0.0025101441;0.379;0;0;36692097;192
0;0;1;50;0.0033393758;-0.0019117079;0.379;0;0;36692109;193
0;0;1;52;-0.0036507258;-0.005920911;0.379;0;0;36692117;194
0;0;1;49;-0.0017617837;-0.0031769325;0.379;0;0;36692125;195
0;0;1;49;-0.00430376;0.0032794941;0.379;0;0;36692132;196
0;0;1;52;5.327922E-5;-0.0012808539;0.379;0;0;36692144;197
0;0;1;46;0.0017138408;-0.0050549675;0.379;0;0;36692152;198
0;0;1;52;7.4903853E-4;-0.0033497065;0.379;0;0;36692160;199
0;0;1;50;-0.008900685;-2.9056962E-4;0.379;0;0;36692167;200
0;0;1;50;-0.008644037;-0.0014946674;0.379;0;0;36692179;201
0;0;1;53;-0.0038580457;-0.0035144931;0.379;0;0;36692187;202
0;0;1;53;-0.0070604393;-0.0014622139;0.38;0;0;36692195;203
0;0;1;50;-0.0057974006;-0.0048073228;0.38;0;0;36692203;204
0;0;1;46;-0.0022195652;-0.0048214127;0.38;0;0;36692210;205
0;0;1;53;-0.0069883056;6.5139064E-4;0.38;0;0;36692222;206
0;0;1;47;0.0010286997;-9.712021E-4;0.38;0;0;36692230;207
0;0;1;51;0.0031332793;0.0035282767;0.38;0;0;36692238;208
0;0;1;50;-0.006838511;5.2184565E-5;0.38;0;0;36692246;209
0;0;1;53;4.95906E-6;-0.01186983;0.38;0;0;36692253;210
0;0;1;55;-9.554781E-4;-0.0033818702;0.38;0;0;36692265;211
0;0;1;50;0.0063153068;-0.0019263945;0.38;0;0;36692273;212
0;0;1;49;-0.004407442;-0.0040162075;0.38;0;0;36692281;213
0;0;1;52;-0.0045950967;-0.013303274;0.38;0;0;36692292;214
