pwm0;pwm1;pwm2;pwm3;pwm4;pwm5;pwm6;pwm7
0.0060477164;6.346349E-4;-0.0047632745;-0.0060477164;-6.3463446E-4;0.0047632735;0.0;0.0
0.005984374;5.987767E-4;-0.0047325166;-0.005984374;-5.9877645E-4;0.004732516;0.0;0.0
0.005984607;6.0169236E-4;-0.0047298167;-0.005984607;-6.016919E-4;0.0047298158;0.0;0.0
0.0057473076;9.6530013E-4;-0.005088223;-0.0057473076;-9.6529967E-4;0.005088223;0.0;0.0
0.0057494044;9.7088673E-4;-0.0050895293;-0.0057494044;-9.7088626E-4;0.0050895293;0.0;0.0
0.006673715;2.8660044E-4;-0.0044486;-0.006673715;-2.8659997E-4;0.0044485996;0.0;0.0
0.0072860382;-7.98495E-4;-0.0032682086;-0.0072860382;7.984955E-4;0.0032682077;0.0;0.0
0.00728807;-8.0298993E-4;-0.0032598996;-0.00728807;8.029904E-4;0.0032598996;0.0;0.0
0.007742238;-0.0010365131;-0.003308595;-0.007742238;0.0010365134;0.0033085945;0.0;0.0
0.0055608503;7.923555E-4;-0.0050585074;-0.0055608503;-7.9235504E-4;0.005058507;0.0;0.0
0.0055494816;7.962108E-4;-0.0050642802;-0.0055494816;-7.962103E-4;0.0050642793;0.0;0.0
0.0015684646;0.0047417074;-0.009322262;-0.0015684646;-0.004741707;0.009322261;0.0;0.0
0.0015502712;0.0047419504;-0.009331102;-0.0015502712;-0.00474195;0.009331102;0.0;0.0
0.00417078;0.0024925866;-0.0071468814;-0.0041707796;-0.0024925862;0.0071468805;0.0;0.0
0.008441658;-9.86354E-4;-0.0033407055;-0.008441658;9.863544E-4;0.0033407046;0.0;0.0
0.00846537;-9.858124E-4;-0.0033350028;-0.00846537;9.858129E-4;0.0033350019;0.0;0.0
0.008482641;-0.0024347606;-0.0015756772;-0.008482641;0.0024347608;0.0015756767;0.0;0.0
0.008469852;-0.0024318502;-0.0015718429;-0.008469852;0.0024318506;0.0015718429;0.0;0.0
0.00669002;2.888654E-4;-0.004425623;-0.00669002;-2.8886495E-4;0.004425622;0.0;0.0
0.006683789;3.0690397E-4;-0.0044383532;-0.006683789;-3.0690373E-4;0.004438353;0.0;0.0
0.0018576905;0.0047000805;-0.008387217;-0.0018576905;-0.00470008;0.008387217;0.0;0.0
0.0018459929;0.0047062165;-0.008374785;-0.0018459929;-0.004706216;0.008374784;0.0;0.0
0.003688281;0.0030798563;-0.008008868;-0.0036882805;-0.0030798558;0.0080088675;0.0;0.0
0.0037008391;0.0030647486;-0.008017019;-0.0037008387;-0.0030647481;0.008017018;0.0;0.0
0.007124665;-6.143326E-4;-0.003576667;-0.007124665;6.143331E-4;0.003576667;0.0;0.0
0.0071354946;-6.231507E-4;-0.0035706062;-0.0071354946;6.231512E-4;0.0035706053;0.0;0.0
0.009456839;-0.0031189364;-0.0013273596;-0.009456839;0.003118937;0.0013273591;0.0;0.0
0.009460205;-0.003125163;-0.0013272902;-0.009460205;0.0031251633;0.0013272897;0.0;0.0
0.0066038305;2.1132093E-4;-0.004100008;-0.0066038305;-2.1132058E-4;0.004100008;0.0;0.0
0.006588341;2.2302533E-4;-0.004105517;-0.006588341;-2.2302486E-4;0.0041055167;0.0;0.0
0.0038816766;0.0033451074;-0.006931034;-0.0038816766;-0.0033451072;0.006931033;0.0;0.0
0.0038780165;0.0033633278;-0.006931346;-0.0038780165;-0.0033633276;0.006931345;0.0;0.0
0.0047035897;0.0019673472;-0.006601469;-0.0047035892;-0.0019673472;0.006601468;0.0;0.0
0.00470845;0.001955668;-0.006598782;-0.0047084494;-0.0019556675;0.006598781;0.0;0.0
0.00618775;1.3417914E-5;-0.0042357366;-0.00618775;-1.3417448E-5;0.0042357356;0.0;0.0
0.008747402;-0.0016052809;-0.0023388646;-0.008747402;0.0016052814;0.0023388637;0.0;0.0
0.008762398;-0.0016150528;-0.00233305;-0.008762398;0.001615053;0.0023330494;0.0;0.0
0.008838649;-0.0027967799;-0.0016530578;-0.008838649;0.00279678;0.0016530573;0.0;0.0
0.008830597;-0.00280096;-0.0016590215;-0.008830597;0.0028009603;0.001659021;0.0;0.0
-0.06856234;0.0753207;-0.08111697;0.06856234;-0.0753207;0.08111697;0.0;0.0
-0.06842867;0.07489412;-0.08167722;0.06842867;-0.07489412;0.08167722;0.0;0.0
-0.06842584;0.07488396;-0.08169021;0.06842584;-0.07488396;0.08169021;0.0;0.0
-0.06809661;0.075331874;-0.08157153;0.06809661;-0.075331874;0.08157152;0.0;0.0
-0.06834977;0.07506371;-0.081586525;0.06834977;-0.07506371;0.081586525;0.0;0.0
-0.068333186;0.075070925;-0.0815959;0.068333186;-0.075070925;0.0815959;0.0;0.0
-0.03708965;0.04100637;-0.047056623;0.03708965;-0.04100637;0.047056623;0.0;0.0
-0.03443723;0.041350756;-0.04679775;0.03443723;-0.041350756;0.046797745;0.0;0.0
0.0045109154;6.402001E-4;-0.0069274134;-0.004510915;-6.4019964E-4;0.006927413;0.0;0.0
0.0044954447;6.2672165E-4;-0.0069205323;-0.0044954447;-6.267212E-4;0.0069205323;0.0;0.0
0.0032804022;0.0051135886;-0.010251798;-7.7944295E-4;-0.0026126292;0.0127527565;0.0;0.0
-0.0020895228;0.006731959;-0.011897016;0.004590469;-0.004231013;0.014397962;0.0;0.0
-0.002906716;0.006140372;-0.012965694;0.0029067164;-0.0061403713;0.012965694;0.0;0.0
9.773113E-5;0.008270889;-0.013841858;-9.773066E-5;-0.008270888;0.013841857;0.0;0.0
0.0017168736;0.0040895306;-0.009356072;-0.0017168731;-0.00408953;0.009356071;0.0;0.0
0.0029311809;0.0040155835;-0.009365156;-0.0029311804;-0.0040155826;0.009365154;0.0;0.0
