index;navStatus;velBfx;velBfy;velBfz;velBfroll;velBfpitch;velBfyaw;velEfx;velEfy;velEfz;velEfroll;velEfpitch;velEfyaw;posx;posy;posz;posroll;pospitch;posyaw;groundSpeed;bearing;quality
1;0;-0.043759387;-0.005258306;-0.02696757;0.0043824394;0.0031128684;-0.005070204;-0.043933474;-0.0035190515;-0.02696757;0.0043824394;0.0031128684;-0.005070204;0.3797412;0.0;-4.534018E-7;-8.5545424E-4;0.0025866663;-0.03966175;0.069701485;-0.0014241259;0.0
2;0;-0.043950293;-0.0054302663;-0.027100733;-0.013400295;-0.00959342;0.0075095966;-0.04413052;-0.0036896195;-0.027100733;-0.013400295;-0.00959342;0.0075095966;0.0;0.0;-5.4468046E-4;-9.891324E-4;0.0024908208;-0.039518714;0.008703884;-2.7272966;0.0
4;0;-0.041027647;-0.00549588;-0.025139552;-0.0026676885;-0.0028445218;0.0043246537;-0.04121237;-0.0038746905;-0.025139552;-0.0026676885;-0.0028445218;0.0043246537;0.0;0.0;-0.0015962264;-0.001070486;0.0024569982;-0.03942069;0.031935617;-3.0268478;0.0
6;0;-0.042097434;-0.005864559;-0.025790067;-0.003472803;-0.00432868;-1.7995859E-4;-0.04229581;-0.004201401;-0.025790067;-0.003472803;-0.00432868;-1.7995859E-4;0.0;0.0;-0.07596292;-0.0011011144;0.002372264;-0.039409388;0.040178344;-3.03911;0.0
7;0;-0.042470336;-0.0061431946;-0.026302094;0.0061739655;0.001341898;1.603965E-4;-0.04267925;-0.004466535;-0.026302094;0.0061739655;0.001341898;1.603965E-4;0.0;0.0;-0.07663275;-0.0010477947;0.0024163723;-0.03937642;0.04161755;-3.0397372;0.0
8;0;-0.04313141;-0.0062550865;-0.0264749;3.0488567E-4;-0.0027054977;8.890716E-4;-0.04334374;-0.004556818;-0.0264749;3.0488567E-4;-0.0027054977;8.890716E-4;0.0;0.0;-0.07731417;-0.0010360773;0.002360019;-0.039272558;0.042610355;-3.036118;0.0
10;0;-0.044166815;-0.006860324;-0.027385088;0.0042279987;4.902724E-4;-7.8529224E-4;-0.04440262;-0.005116493;-0.027385088;0.0042279987;4.902724E-4;-7.8529224E-4;0.0;0.0;-0.07869031;-0.001040229;0.0022970622;-0.03937263;0.044283994;-3.0345268;0.0
12;0;-0.044833727;-0.0071752253;-0.02802789;0.0021830993;-0.0010182941;-0.014457717;-0.04508231;-0.0053974534;-0.02802789;0.0021830993;-0.0010182941;-0.014457717;0.0;0.0;-0.119010486;-9.888445E-4;0.0023113722;-0.039537787;0.04520169;-3.0257516;0.0
13;0;-0.04129402;-0.006708041;-0.026338816;-5.796845E-4;0.0069411276;-0.001736993;-0.041527256;-0.0050676507;-0.026338816;-5.796845E-4;0.0069411276;-0.001736993;0.0;0.0;-0.119806945;-0.0010049882;0.0023750064;-0.039607592;0.04553013;-3.0227008;0.0
14;0;-0.04194485;-0.0069763726;-0.026499202;0.008956368;-6.303694E-4;-0.0013801066;-0.042188212;-0.005309876;-0.026499202;0.008956368;-6.303694E-4;-0.0013801066;0.0;0.0;-0.12056927;-0.001039735;0.002339433;-0.039610554;0.042143486;-3.0203564;0.0
15;0;-0.042577345;-0.007264134;-0.026807668;0.005397929;-0.0051703816;-0.0063269837;-0.042832397;-0.00556629;-0.026807668;0.005397929;-0.0051703816;-0.0063269837;0.0;0.0;-0.121335216;-9.270252E-4;0.002361681;-0.039752375;0.042801;-3.0166187;0.0
16;0;-0.043277748;-0.0073473332;-0.02704232;-0.006345531;-0.0041328687;-0.0010052458;-0.043535285;-0.005623678;-0.02704232;-0.006345531;-0.0041328687;-0.0010052458;0.0;0.0;-0.122107804;-9.075937E-4;0.0023026557;-0.03970437;0.04346809;-3.0131297;0.0
17;0;-0.043749847;-0.0077375867;-0.027327457;8.067074E-4;0.0044778055;-0.0029038736;-0.04402236;-0.005995944;-0.027327457;8.067074E-4;0.0044778055;-0.0029038736;0.0;0.0;-0.12288431;-9.272568E-4;0.0023461266;-0.0396803;0.04414818;-3.0130734;0.0
18;0;-0.04428247;-0.007903737;-0.027438728;-5.23512E-4;-0.0014246916;0.0034589283;-0.044561185;-0.0061405967;-0.027438728;-5.23512E-4;-0.0014246916;0.0034589283;0.0;0.0;-0.10504695;-9.1691554E-4;0.0024011836;-0.039685648;0.044687644;-3.0067525;0.0
19;0;-0.044609465;-0.008075913;-0.02785541;-0.0030379149;-0.003281179;0.0021054363;-0.044895083;-0.00629733;-0.02785541;-0.0030379149;-0.003281179;0.0021054363;0.0;0.0;-0.10579558;-9.851474E-4;0.0024095394;-0.039737646;0.045219623;-3.004988;0.0
20;0;-0.045130678;-0.0082953945;-0.02816811;-0.0019868403;0.0047827894;-0.0052478984;-0.04542534;-0.0064907684;-0.02816811;-0.0019868403;0.0047827894;-0.0052478984;0.0;0.0;-0.10655289;-0.0011166215;0.002501353;-0.039851293;0.04557914;-3.0025005;0.0
22;0;-0.045997452;-0.008848019;-0.028845202;0.009654143;0.0040382026;-5.9811014E-4;-0.046313126;-0.0070105055;-0.028845202;0.009654143;0.0040382026;-5.9811014E-4;0.0;0.0;-0.10808446;-9.877583E-4;0.0024738847;-0.0398063;0.046509128;-2.9957004;0.0
23;0;-0.04578171;-0.008949141;-0.029159386;0.0020738947;0.0034277104;6.2205293E-4;-0.046101596;-0.007120037;-0.029159386;0.0020738947;0.0034277104;6.2205293E-4;0.0;0.0;-0.10886257;-9.4019825E-4;0.0025140855;-0.03980838;0.047062594;-2.9918015;0.0
24;0;-0.04630507;-0.009046157;-0.029498633;-0.0040408378;0.0033787768;-0.002430178;-0.04662844;-0.007195892;-0.029498633;-0.0040408378;0.0033787768;-0.002430178;0.0;0.0;-0.07236884;-9.826783E-4;0.0026403188;-0.039813854;0.046898775;-2.9889405;0.0
25;0;-0.046872877;-0.009205578;-0.029885843;-0.0010140312;-0.0021695457;-0.002176578;-0.047202468;-0.0073305094;-0.029885843;-0.0010140312;-0.0021695457;-0.002176578;0.0;0.0;-0.07308778;-0.0010280149;0.002653014;-0.039857846;0.047431193;-2.9890597;0.0
26;0;-0.047537707;-0.009377207;-0.030368842;0.0012587328;0.002941071;-0.008407605;-0.047874518;-0.0074696853;-0.030368842;0.0012587328;0.002941071;-0.008407605;0.0;0.0;-0.07381363;-0.0010493121;0.0026655456;-0.039979525;0.048030473;-2.988024;0.0
27;0;-0.04802207;-0.009618045;-0.03075561;0.0049973913;-0.00938916;-0.0063999835;-0.048368447;-0.007688889;-0.03075561;0.0049973913;-0.00938916;-0.0063999835;0.0;0.0;-0.07454829;-9.385311E-4;0.0024491344;-0.040022578;0.048694592;-2.9872026;0.0
28;0;-0.04462251;-0.009115597;-0.028335312;-0.0034291921;3.2395124E-5;0.0018895771;-0.044952024;-0.0073197116;-0.028335312;-0.0034291921;3.2395124E-5;0.0018895771;0.0;0.0;-0.075290784;-9.924675E-4;0.0024183688;-0.04009276;0.04912366;-2.9842176;0.0
29;0;-0.045168478;-0.009372191;-0.028744916;0.0040125027;0.005838369;-3.2759563E-4;-0.045507517;-0.00755613;-0.028744916;0.0040125027;0.005838369;-3.2759563E-4;0.0;0.0;-0.075985625;-9.985588E-4;0.0024706153;-0.040050685;0.045836687;-2.9805815;0.0
30;0;-0.045719504;-0.009554387;-0.02890938;0.0077084824;-0.005354748;-0.0034261267;-0.046065405;-0.007716078;-0.02890938;0.0077084824;-0.005354748;-0.0034261267;0.0;0.0;-0.06380055;-9.294997E-4;0.002428944;-0.04005154;0.04639179;-2.9774356;0.0
31;0;-0.046127804;-0.009768343;-0.029347872;-0.0029415947;0.0021005375;0.003539458;-0.0464815;-0.007916094;-0.029347872;-0.0029415947;0.0021005375;0.003539458;0.0;0.0;-0.064480506;-9.487816E-4;0.0025053667;-0.039996006;0.046951506;-2.9760368;0.0
32;0;-0.046520647;-0.009827866;-0.029763062;-0.005035326;-0.0045116814;-0.004063885;-0.046876576;-0.007958929;-0.029763062;-0.005035326;-0.0045116814;-0.004063885;0.0;0.0;-0.06516964;-0.001059402;0.0024671368;-0.040015917;0.047383912;-2.9733455;0.0
33;0;-0.046931937;-0.010076171;-0.03013328;-0.0045658224;-0.008084733;-0.008004828;-0.04729809;-0.008186998;-0.03013328;-0.0045658224;-0.008084733;-0.008004828;0.0;0.0;-0.06586777;-0.0011245077;0.0024087166;-0.040091686;0.047773737;-2.973761;0.0
35;0;-0.04799875;-0.010596013;-0.030879943;0.0026413673;0.0019563287;-0.0012069093;-0.048385292;-0.008661345;-0.030879943;0.0026413673;0.0019563287;-0.0012069093;0.0;0.0;-0.06728551;-0.0011349046;0.0024074807;-0.040139604;0.048769612;-2.9659705;0.0
36;0;-0.048447266;-0.010861574;-0.031194104;-0.0061078845;0.003070115;-0.0030633074;-0.048844744;-0.008905192;-0.031194104;-0.0061078845;0.003070115;-0.0030633074;0.0;0.0;-0.09216817;-0.0012434461;0.002494441;-0.04021127;0.049383227;-2.964783;0.0
37;0;-0.04910375;-0.011126715;-0.031477544;-0.0052318145;-0.003995006;-0.0015531258;-0.049511462;-0.009143152;-0.031477544;-0.0052318145;-0.003995006;-0.0015531258;0.0;0.0;-0.09294294;-0.0013900559;0.0024622956;-0.0402229;0.04988706;-2.9616277;0.0
38;0;-0.048977517;-0.011598214;-0.031818397;0.0026520584;0.0023041414;-0.0026951148;-0.049403854;-0.009621589;-0.031818397;0.0026520584;0.0023041414;-0.0026951148;0.0;0.0;-0.09372357;-0.0014308033;0.0024840783;-0.04017748;0.050551467;-2.9591913;0.0
