pwm0;pwm1;pwm2;pwm3;pwm4;pwm5;pwm6;pwm7
0.014574729;0.010548761;-0.002835386;-0.014574729;-0.010548761;0.002835383;0.0;0.0
0.015021746;0.010297065;-0.0025637234;-0.015021746;-0.010297065;0.00256372;0.0;0.0
0.014673558;0.010400333;-0.0027552294;-0.014673558;-0.0104003325;0.0027552266;0.0;0.0
0.014275996;0.011091813;-0.0035912145;-0.014275996;-0.0110918125;0.0035912117;0.0;0.0
0.016818587;0.008882485;-0.0035612807;-0.016818587;-0.0088824835;0.0035612779;0.0;0.0
0.014129906;0.009958915;-0.0026449845;-0.014129906;-0.0099589145;0.0026449817;0.0;0.0
0.0140853;0.009934684;-0.0026326962;-0.0140853;-0.009934683;0.0026326932;0.0;0.0
0.014418959;0.011240559;-0.0026149026;-0.014418959;-0.011240558;0.0026148998;0.0;0.0
0.01442063;0.011260739;-0.0026060445;-0.01442063;-0.011260738;0.0026060417;0.0;0.0
0.014408879;0.011496586;-0.0042769797;-0.014408879;-0.011496585;0.004276977;0.0;0.0
0.014423923;0.011504499;-0.004293766;-0.014423923;-0.011504499;0.0042937626;0.0;0.0
0.012047006;0.012824324;-0.0044340696;-0.012047006;-0.012824323;0.004434067;0.0;0.0
0.012032805;0.01284425;-0.0044192495;-0.012032805;-0.01284425;0.004419246;0.0;0.0
0.011000575;0.012634998;-0.0058347136;-0.011000575;-0.012634997;0.005834711;0.0;0.0
0.012649603;0.014527173;-0.004638282;-0.012649604;-0.014527172;0.0046382793;0.0;0.0
0.012581582;0.012152341;-0.004707106;-0.012581582;-0.01215234;0.004707103;0.0;0.0
0.012570355;0.012138335;-0.004698664;-0.012570355;-0.012138334;0.004698661;0.0;0.0
0.013110892;0.011955679;-0.0028637438;-0.013110892;-0.011955679;0.002863741;0.0;0.0
0.013095536;0.011964015;-0.0028272343;-0.013095536;-0.011964014;0.0028272315;0.0;0.0
0.014183345;0.008896925;-0.0025055404;-0.014183345;-0.008896924;0.0025055376;0.0;0.0
0.014155364;0.008854052;-0.0024975752;-0.014155364;-0.008854052;0.0024975725;0.0;0.0
0.015340053;0.009107253;-8.582751E-4;-0.015340053;-0.009107251;8.582723E-4;0.0;0.0
0.014158044;0.008845461;-2.5826856E-4;-0.014158044;-0.00884546;2.5826623E-4;0.0;0.0
0.014118542;0.00883432;-2.3108372E-4;-0.014118542;-0.00883432;2.3108139E-4;0.0;0.0
0.016546216;0.010702303;-0.0030294722;-0.016546216;-0.010702303;0.0030294694;0.0;0.0
0.01658438;0.010720666;-0.0030602235;-0.01658438;-0.010720665;0.0030602203;0.0;0.0
0.010415268;0.0105633;-0.0025116657;-0.010415268;-0.0105633;0.0025116638;0.0;0.0
0.015629293;0.012891521;-0.0047581987;-0.015629293;-0.012891521;0.004758195;0.0;0.0
0.0156909;0.012918;-0.0047898754;-0.0156909;-0.012918;0.004789872;0.0;0.0
0.01361864;0.011881424;-0.0034344625;-0.01361864;-0.011881424;0.0034344592;0.0;0.0
0.013621441;0.0118779065;-0.0034392476;-0.013621441;-0.0118779065;0.0034392443;0.0;0.0
0.01116033;0.011105541;-0.0027145797;-0.01116033;-0.011105541;0.002714577;0.0;0.0
0.013699785;0.011157898;-0.0042377356;-0.013699785;-0.011157898;0.004237733;0.0;0.0
0.015905414;0.011643156;-0.0021207477;-0.015905414;-0.0116431555;0.002120745;0.0;0.0
0.013936974;0.0087385895;-0.0017522693;-0.013936974;-0.0087385895;0.001752267;0.0;0.0
0.015450982;0.009567568;-0.00115828;-0.015450982;-0.009567566;0.0011582772;0.0;0.0
0.0154519575;0.009565268;-0.0011550783;-0.0154519575;-0.009565268;0.001155075;0.0;0.0
0.015580764;0.009121648;-0.0010880796;-0.015580764;-0.009121648;0.0010880764;0.0;0.0
0.015578682;0.009116203;-0.0010881373;-0.015578682;-0.009116201;0.0010881345;0.0;0.0
0.015051577;0.01102026;-0.001534808;-0.015051578;-0.011020259;0.0015348047;0.0;0.0
-0.060722362;0.0840603;-0.08021735;0.060722362;-0.0840603;0.08021735;0.0;0.0
-0.061954364;0.08398845;-0.079057194;0.061954364;-0.08398845;0.079057194;0.0;0.0
-0.06146221;0.08465406;-0.07888374;0.06146221;-0.08465406;0.07888374;0.0;0.0
-0.061091512;0.085110985;-0.07879751;0.061091512;-0.085110985;0.07879751;0.0;0.0
-0.058903165;0.08605017;-0.08004668;0.058903165;-0.08605016;0.080046676;0.0;0.0
-0.0609421;0.08491542;-0.079142496;0.0609421;-0.08491542;0.07914249;0.0;0.0
-0.06092929;0.08492397;-0.07914675;0.06092929;-0.08492397;0.07914675;0.0;0.0
-0.062772945;0.08374917;-0.0784779;0.062772945;-0.08374917;0.07847789;0.0;0.0
-0.046678107;0.06801899;-0.06187405;0.046678107;-0.06801899;0.061874047;0.0;0.0
