idSensor;source;status;sig;fix;PDOP;HDOP;VDOP;satsInUse;satsInView;latitude;longitude;altitude;trueBearing;declination;groundspeed;groundSpeedX;groundSpeedY;groundSpeedZ;initLatitude;initLongitude;initAltitude;x;y;z;timestamp;index
1;3;-1;0;1;0.0;0.0;0.0;0;0;-2.3316544E-12;-9.666775E-14;-2.090165E-6;-3.1000583;0.0;2.6041473E-5;-2.6019014E-5;-1.0813021E-6;2.0929883E-4;0.0;0.0;0.0;0.0;0.0;0.0;36354953;48
0;2;-1;0;1;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;36354984;49
1;3;-1;0;1;0.0;0.0;0.0;0;0;-2.3316544E-12;-9.666775E-14;-2.090165E-6;-3.1000583;0.0;2.6041473E-5;-2.6019014E-5;-1.0813021E-6;2.0929883E-4;0.0;0.0;0.0;0.0;0.0;0.0;36354984;49
0;2;-1;0;1;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;36355015;50
1;3;-1;0;1;0.0;0.0;0.0;0;0;-2.3316544E-12;-9.666775E-14;-2.090165E-6;-3.1000583;0.0;2.6041473E-5;-2.6019014E-5;-1.0813021E-6;2.0929883E-4;0.0;0.0;0.0;0.0;0.0;0.0;36355015;50
0;2;-1;0;1;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;36355046;51
1;3;-1;0;1;0.0;0.0;0.0;0;0;-2.3316544E-12;-9.666775E-14;-2.090165E-6;-3.1000583;0.0;2.6041473E-5;-2.6019014E-5;-1.0813021E-6;2.0929883E-4;0.0;0.0;0.0;0.0;0.0;0.0;36355046;51
0;2;-1;0;1;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;36355074;52
1;3;-1;0;1;0.0;0.0;0.0;0;0;-2.3316544E-12;-9.666775E-14;-2.090165E-6;-3.1000583;0.0;2.6041473E-5;-2.6019014E-5;-1.0813021E-6;2.0929883E-4;0.0;0.0;0.0;0.0;0.0;0.0;36355074;52
0;2;-1;0;1;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;36355105;53
