pwm0;pwm1;pwm2;pwm3;pwm4;pwm5;pwm6;pwm7
0.010053586;0.006728141;-0.003119933;-0.010053586;-0.006728141;0.003119931;0.0;0.0
0.009843883;0.007204934;-0.0033964447;-0.009843883;-0.007204933;0.0033964433;0.0;0.0
0.010325313;0.006647869;-0.0028362137;-0.010325313;-0.0066478685;0.0028362123;0.0;0.0
0.01032976;0.006647792;-0.0028326958;-0.01032976;-0.0066477917;0.002832694;0.0;0.0
0.009981686;0.0065606963;-0.0032112102;-0.009981686;-0.0065606963;0.0032112086;0.0;0.0
0.009529151;0.0075225374;-0.004038353;-0.009529151;-0.007522537;0.004038351;0.0;0.0
0.009289905;0.007904177;-0.0040763146;-0.009289905;-0.007904176;0.004076313;0.0;0.0
0.009294834;0.007906462;-0.004074096;-0.009294834;-0.007906462;0.0040740944;0.0;0.0
0.01027723;0.006124091;-0.0030017593;-0.01027723;-0.0061240904;0.003001758;0.0;0.0
0.010527572;0.0073641143;-0.00263234;-0.010527572;-0.0073641143;0.002632338;0.0;0.0
0.009003159;0.0077887834;-0.0045425645;-0.009003159;-0.0077887834;0.004542563;0.0;0.0
0.0073227105;0.009714073;-0.0057337377;-0.0073227105;-0.009714073;0.005733736;0.0;0.0
0.00730696;0.009714469;-0.0057406127;-0.00730696;-0.009714469;0.005740611;0.0;0.0
0.009922533;0.00780839;-0.0035484573;-0.009922533;-0.00780839;0.0035484554;0.0;0.0
0.011932684;0.0038871837;0.0011592179;-0.011932684;-0.0038871828;-0.0011592195;0.0;0.0
0.014612451;0.0033218684;1.5242212E-4;-0.014612451;-0.0033218684;-1.5242375E-4;0.0;0.0
0.01463649;0.0033259026;1.4450797E-4;-0.01463649;-0.0033259026;-1.445096E-4;0.0;0.0
0.013150672;0.003897131;-9.976493E-4;-0.013150672;-0.0038971305;9.976476E-4;0.0;0.0
0.009315491;0.008446589;-0.0057655904;-0.009315491;-0.008446589;0.005765589;0.0;0.0
0.0093285525;0.008461111;-0.0058027096;-0.0093285525;-0.00846111;0.005802708;0.0;0.0
0.006047105;0.01078484;-0.0075812214;-0.006047105;-0.01078484;0.00758122;0.0;0.0
0.006042396;0.010780752;-0.007588062;-0.006042396;-0.010780751;0.0075880606;0.0;0.0
0.0074879024;0.010399807;-0.005897034;-0.0074879024;-0.010399807;0.005897032;0.0;0.0
0.011272619;0.0059780325;-0.0025493035;-0.011272619;-0.005978032;0.0025493018;0.0;0.0
0.011293627;0.0059735356;-0.0025426;-0.011293627;-0.0059735356;0.0025425984;0.0;0.0
0.01268139;0.004802026;-5.939065E-4;-0.01268139;-0.004802026;5.9390464E-4;0.0;0.0
0.012683501;0.004811462;-5.951158E-4;-0.012683501;-0.004811462;5.9511396E-4;0.0;0.0
0.0112970555;0.005681422;-0.0024962858;-0.0112970555;-0.0056814216;0.0024962844;0.0;0.0
0.009787896;0.007195098;-0.0030113;-0.009787896;-0.0071950974;0.0030112984;0.0;0.0
0.008683008;0.008768925;-0.0048492635;-0.008683008;-0.0087689245;0.0048492616;0.0;0.0
0.0072501074;0.009192706;-0.0055631343;-0.0072501074;-0.009192705;0.0055631325;0.0;0.0
0.0083981175;0.00887396;-0.0051117633;-0.0083981175;-0.00887396;0.0051117614;0.0;0.0
0.008404744;0.008869725;-0.0051130275;-0.008404744;-0.008869725;0.005113026;0.0;0.0
0.010211682;0.006500448;-0.0028941128;-0.010211682;-0.006500448;0.002894111;0.0;0.0
0.011324434;0.0061995736;-0.0023473795;-0.011324434;-0.006199573;0.0023473776;0.0;0.0
0.012819348;0.0044784658;-4.4737267E-4;-0.012819348;-0.0044784658;4.4737104E-4;0.0;0.0
0.01261706;0.0040875617;-9.2301634E-4;-0.01261706;-0.0040875613;9.230147E-4;0.0;0.0
0.012609495;0.004078551;-9.3291304E-4;-0.012609495;-0.004078551;9.329114E-4;0.0;0.0
0.008384382;0.007983785;-0.0050145807;-0.008384382;-0.007983784;0.005014579;0.0;0.0
0.006157308;0.009655453;-0.0062317965;-0.006157308;-0.009655453;0.006231795;0.0;0.0
0.008194729;0.009468745;-0.004625577;-0.008194729;-0.009468745;0.004625575;0.0;0.0
0.009059402;0.006349693;-0.002853255;-0.009059402;-0.0063496926;0.0028532532;0.0;0.0
0.009048413;0.00632665;-0.0028365857;-0.009048413;-0.00632665;0.002836584;0.0;0.0
0.0126824975;0.0060417247;-9.7018806E-4;-0.0126824975;-0.0060417247;9.701862E-4;0.0;0.0
0.010878582;0.0041800453;-0.0019889413;-0.010878582;-0.004180045;0.00198894;0.0;0.0
0.012257578;0.0066051;-0.0015928127;-0.012257578;-0.006605099;0.0015928108;0.0;0.0
0.01228142;0.0066265976;-0.0015918792;-0.01228142;-0.0066265976;0.0015918773;0.0;0.0
0.008964749;0.010512468;-0.005300774;-0.008964749;-0.0105124675;0.005300772;0.0;0.0
0.008982246;0.010552219;-0.005293476;-0.008982246;-0.010552219;0.005293474;0.0;0.0
0.007696174;0.010228466;-0.007528713;-0.007696174;-0.010228465;0.007528711;0.0;0.0
0.0077169463;0.010229149;-0.0075652096;-0.0077169463;-0.010229148;0.007565208;0.0;0.0
0.01221127;0.0062377932;-0.0019587935;-0.01221127;-0.006237793;0.0019587919;0.0;0.0
0.012247187;0.0062502827;-0.0019340792;-0.012247187;-0.006250282;0.0019340776;0.0;0.0
0.008805096;0.0047928696;-0.0012337925;-0.008805096;-0.004792869;0.0012337911;0.0;0.0
0.011635125;0.006520323;-0.0029778187;-0.011635125;-0.0065203225;0.002977817;0.0;0.0
0.011932081;0.006351987;-0.0015268424;-0.011932081;-0.006351987;0.0015268405;0.0;0.0
0.010520533;0.007943501;-0.004909084;-0.010520533;-0.0079435;0.004909083;0.0;0.0
0.010538621;0.007962739;-0.0049400777;-0.010538621;-0.007962739;0.0049400767;0.0;0.0
0.0055200174;0.010005704;-0.0043060984;-0.0055200174;-0.010005703;0.0043060966;0.0;0.0
0.0087549705;0.010448268;-0.0080575;-0.0087549705;-0.010448267;0.008057498;0.0;0.0
0.008180578;0.0056576426;-0.0010309366;-0.008180578;-0.0056576417;0.0010309352;0.0;0.0
0.014885922;0.0068538114;-0.0039820704;-0.014885922;-0.0068538105;0.003982068;0.0;0.0
0.014987497;0.0068923263;-0.0040320745;-0.014987497;-0.0068923254;0.0040320717;0.0;0.0
0.009057278;0.0047590043;-5.5530865E-4;-0.009057278;-0.004759004;5.5530726E-4;0.0;0.0
0.012732865;0.005196548;-0.0015533066;-0.012732865;-0.005196548;0.0015533052;0.0;0.0
0.011353256;0.007976033;-0.006027595;-0.011353256;-0.007976033;0.006027593;0.0;0.0
0.011411125;0.008005485;-0.0060913647;-0.011411125;-0.008005484;0.006091363;0.0;0.0
0.005081158;0.0094646225;-0.0043776054;-0.005081158;-0.009464622;0.0043776035;0.0;0.0
0.009470243;0.0072994772;-0.004252364;-0.009470243;-0.007299477;0.0042523625;0.0;0.0
0.0094861165;0.0072784666;-0.0042507406;-0.0094861165;-0.007278466;0.0042507392;0.0;0.0
0.008914077;0.007971018;-0.0020266997;-0.008914077;-0.007971018;0.002026698;0.0;0.0
0.011018956;0.007604388;-9.5848273E-4;-0.011018956;-0.007604387;9.584809E-4;0.0;0.0
0.0121643925;0.004734559;-0.0027355126;-0.0121643925;-0.004734559;0.0027355112;0.0;0.0
0.012176873;0.004704931;-0.0027663233;-0.012176873;-0.0047049304;0.0027663219;0.0;0.0
0.010832611;0.0052610636;7.3286425E-4;-0.010832611;-0.0052610626;-7.328659E-4;0.0;0.0
0.00791533;0.006464372;-0.0025297557;-0.00791533;-0.006464372;0.002529754;0.0;0.0
0.008994313;0.009723919;-0.00546552;-0.008994313;-0.009723919;0.0054655187;0.0;0.0
0.009035583;0.009761983;-0.005493623;-0.009035583;-0.009761983;0.0054936213;0.0;0.0
0.008435111;0.007432552;-0.0046652583;-0.008435111;-0.0074325516;0.004665257;0.0;0.0
0.009032637;0.007803026;-0.005522178;-0.009032637;-0.0078030257;0.0055221766;0.0;0.0
0.007195759;0.008899914;-0.0038675247;-0.007195759;-0.008899914;0.0038675228;0.0;0.0
0.0071246373;0.008890263;-0.0038122237;-0.0071246373;-0.008890263;0.0038122218;0.0;0.0
0.01185642;0.0062985015;-0.0037815205;-0.01185642;-0.006298501;0.0037815187;0.0;0.0
