pwm0;pwm1;pwm2;pwm3;pwm4;pwm5;pwm6;pwm7
0.012725726;0.0061632413;-0.005038138;-0.012725726;-0.006163241;0.005038136;0.0;0.0
0.012439937;0.0065462505;-0.00532898;-0.012439937;-0.00654625;0.005328978;0.0;0.0
0.014028674;0.004970229;-0.0036700596;-0.014028674;-0.0049702288;0.0036700577;0.0;0.0
0.01469456;0.003977599;-0.002770504;-0.01469456;-0.0039775986;0.0027705021;0.0;0.0
0.014487532;0.0043671755;-0.0034400222;-0.014487532;-0.0043671755;0.0034400204;0.0;0.0
0.011828208;0.0066832015;-0.0055202306;-0.011828208;-0.006683201;0.0055202288;0.0;0.0
0.011818022;0.0066983853;-0.005515799;-0.011818022;-0.006698385;0.005515797;0.0;0.0
0.00963729;0.009136017;-0.008891312;-0.00963729;-0.009136017;0.008891311;0.0;0.0
0.0073060095;0.011787912;-0.009090163;-0.0073060095;-0.011787912;0.009090161;0.0;0.0
0.006431851;0.01283275;-0.012312829;-0.006431851;-0.012832749;0.012312827;0.0;0.0
0.01084102;0.00787707;-0.0059309993;-0.01084102;-0.0078770695;0.0059309974;0.0;0.0
0.015962657;0.0036835638;-0.0018164851;-0.015962657;-0.0036835633;0.0018164832;0.0;0.0
0.017965615;7.476364E-4;-2.927864E-4;-0.017965615;-7.4763596E-4;2.9278453E-4;0.0;0.0
0.017973708;7.263967E-4;-2.8945273E-4;-0.017973708;-7.263962E-4;2.894504E-4;0.0;0.0
0.01866065;3.144145E-5;0.0012208144;-0.01866065;-3.1440984E-5;-0.0012208163;0.0;0.0
0.015481368;0.0029435395;-0.0016416968;-0.015481368;-0.002943539;0.0016416945;0.0;0.0
0.008463017;0.011601733;-0.009734272;-0.008463017;-0.011601733;0.00973427;0.0;0.0
0.008447991;0.011635118;-0.009742646;-0.008447991;-0.011635118;0.009742644;0.0;0.0
0.005578895;0.012477802;-0.01146589;-0.005578895;-0.012477802;0.0114658885;0.0;0.0
0.0055508777;0.012471145;-0.011472192;-0.0055508777;-0.012471144;0.011472191;0.0;0.0
