idSensor;source;status;sig;fix;PDOP;HDOP;VDOP;satsInUse;satsInView;latitude;longitude;altitude;trueBearing;declination;groundspeed;groundSpeedX;groundSpeedY;groundSpeedZ;initLatitude;initLongitude;initAltitude;x;y;z;timestamp;index
1;3;-1;0;1;0.0;0.0;0.0;0;0;7.596379E-12;-1.104008E-11;-1.3691845E-6;-0.96860445;0.0;1.4938621E-4;8.4619845E-5;-1.2310858E-4;1.3711351E-4;0.0;0.0;0.0;0.0;0.0;0.0;33792968;48
0;2;-1;0;1;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33793000;49
1;3;-1;0;1;0.0;0.0;0.0;0;0;7.596379E-12;-1.104008E-11;-1.3691845E-6;-0.96860445;0.0;1.4938621E-4;8.4619845E-5;-1.2310858E-4;1.3711351E-4;0.0;0.0;0.0;0.0;0.0;0.0;33793000;49
0;2;-1;0;1;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33793031;50
1;3;-1;0;1;0.0;0.0;0.0;0;0;7.596379E-12;-1.104008E-11;-1.3691845E-6;-0.96860445;0.0;1.4938621E-4;8.4619845E-5;-1.2310858E-4;1.3711351E-4;0.0;0.0;0.0;0.0;0.0;0.0;33793031;50
0;2;-1;0;1;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33793058;51
1;3;-1;0;1;0.0;0.0;0.0;0;0;7.596379E-12;-1.104008E-11;-1.3691845E-6;-0.96860445;0.0;1.4938621E-4;8.4619845E-5;-1.2310858E-4;1.3711351E-4;0.0;0.0;0.0;0.0;0.0;0.0;33793058;51
0;2;-1;0;1;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33793089;52
1;3;-1;0;1;0.0;0.0;0.0;0;0;7.596379E-12;-1.104008E-11;-1.3691845E-6;-0.96860445;0.0;1.4938621E-4;8.4619845E-5;-1.2310858E-4;1.3711351E-4;0.0;0.0;0.0;0.0;0.0;0.0;33793089;52
0;2;-1;0;1;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33793121;53
1;3;-1;0;1;0.0;0.0;0.0;0;0;7.596379E-12;-1.104008E-11;-1.3691845E-6;-0.96860445;0.0;1.4938621E-4;8.4619845E-5;-1.2310858E-4;1.3711351E-4;0.0;0.0;0.0;0.0;0.0;0.0;33793121;53
0;2;-1;0;1;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33793152;54
1;3;-1;0;1;0.0;0.0;0.0;0;0;7.596379E-12;-1.104008E-11;-1.3691845E-6;-0.96860445;0.0;1.4938621E-4;8.4619845E-5;-1.2310858E-4;1.3711351E-4;0.0;0.0;0.0;0.0;0.0;0.0;33793152;54
0;2;-1;0;1;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33793183;55
1;3;-1;0;1;0.0;0.0;0.0;0;0;7.596379E-12;-1.104008E-11;-1.3691845E-6;-0.96860445;0.0;1.4938621E-4;8.4619845E-5;-1.2310858E-4;1.3711351E-4;0.0;0.0;0.0;0.0;0.0;0.0;33793183;55
0;2;-1;0;1;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33793210;56
1;3;-1;0;1;0.0;0.0;0.0;0;0;7.596379E-12;-1.104008E-11;-1.3691845E-6;-0.96860445;0.0;1.4938621E-4;8.4619845E-5;-1.2310858E-4;1.3711351E-4;0.0;0.0;0.0;0.0;0.0;0.0;33793210;56
0;2;-1;0;1;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33793242;57
1;3;-1;0;1;0.0;0.0;0.0;0;0;7.596379E-12;-1.104008E-11;-1.3691845E-6;-0.96860445;0.0;1.4938621E-4;8.4619845E-5;-1.2310858E-4;1.3711351E-4;0.0;0.0;0.0;0.0;0.0;0.0;33793242;57
0;2;-1;0;1;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33793273;58
1;3;-1;0;1;0.0;0.0;0.0;0;0;7.596379E-12;-1.104008E-11;-1.3691845E-6;-0.96860445;0.0;1.4938621E-4;8.4619845E-5;-1.2310858E-4;1.3711351E-4;0.0;0.0;0.0;0.0;0.0;0.0;33793273;58
0;2;-1;0;1;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33793304;59
1;3;-1;0;1;0.0;0.0;0.0;0;0;7.596379E-12;-1.104008E-11;-1.3691845E-6;-0.96860445;0.0;1.4938621E-4;8.4619845E-5;-1.2310858E-4;1.3711351E-4;0.0;0.0;0.0;0.0;0.0;0.0;33793304;59
0;2;-1;0;1;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33793332;60
