idSensor;source;status;quality;flowCompX;flowCompY;groundDistance;flowX;flowY;timestamp;index
0;0;1;58;-9.120434E-4;-6.8700156E-4;0.3;0;0;43595714;164
0;0;1;57;0.0035797881;5.477713E-6;0.3;0;0;43595726;165
0;0;1;60;-5.9661205E-4;1.5998303E-9;0.3;0;0;43595734;166
0;0;1;59;0.0012553032;-3.1781694E-4;0.3;0;0;43595746;167
0;0;1;59;0.0015999464;-3.2320363E-4;0.3;0;0;43595753;168
0;0;1;55;-0.0010527929;-0.0016990622;0.3;0;0;43595765;169
0;0;1;58;0.0012876469;-0.001318165;0.3;0;0;43595773;170
0;0;1;58;0.002677512;3.2289786E-4;0.3;0;0;43595785;171
0;0;1;58;0.0019401739;9.754638E-4;0.3;0;0;43595792;172
0;0;1;59;-0.0028867293;-0.0012871478;0.3;0;0;43595804;173
0;0;1;57;-1.2786977E-5;-6.545422E-4;0.3;0;0;43595812;174
0;0;1;58;-0.004882897;-0.0019511252;0.3;0;0;43595824;175
0;0;1;60;2.1410873E-4;-0.0022799936;0.3;0;0;43595835;176
0;0;1;58;3.1859032E-5;6.353263E-4;0.3;0;0;43595843;177
0;0;1;63;-0.0014826546;-6.5117405E-4;0.3;0;0;43595855;178
0;0;1;58;0.0012413858;-3.236389E-4;0.3;0;0;43595863;179
0;0;1;60;-0.0027740493;3.2273706E-4;0.3;0;0;43595875;180
0;0;1;60;-3.1287115E-4;-6.528259E-4;0.3;0;0;43595882;181
0;0;1;58;0.0012664661;-6.5196626E-4;0.3;0;0;43595894;182
0;0;1;61;0.0012411507;0.0012294442;0.3;0;0;43595902;183
0;0;1;57;0.0014134104;1.10125175E-5;0.3;0;0;43595914;184
0;0;1;61;1.1643305E-5;-0.0012602756;0.3;0;0;43595921;185
0;0;1;61;3.8688385E-4;-2.8106952E-4;0.3;0;0;43595933;186
0;0;1;55;1.3141544E-4;-0.0013232862;0.3;0;0;43595941;187
0;0;-1;55;1.3141544E-4;-0.0013232862;0.3;0;0;43595945;188
0;0;1;58;-8.193054E-5;6.280031E-4;0.3;0;0;43595953;189
0;0;1;57;-0.0016718479;-1.6542384E-5;0.3;0;0;43595960;190
0;0;1;58;4.509813E-6;3.173124E-4;0.3;0;0;43595972;191
0;0;1;61;-0.0017143276;6.148113E-4;0.3;0;0;43595984;192
0;0;1;62;-0.0018457719;-5.9953495E-4;0.3;0;0;43595996;193
0;0;1;56;-3.5833707E-4;-2.0682959E-5;0.3;0;0;43596003;194
0;0;1;59;4.6015542E-4;-0.0010555247;0.3;0;0;43596011;195
0;0;1;59;-9.5837406E-4;-3.1807995E-4;0.3;0;0;43596023;196
0;0;1;60;3.20517E-5;-3.1258626E-4;0.3;0;0;43596035;197
0;0;1;60;-4.109688E-4;-0.0020011044;0.3;0;0;43596042;198
0;0;1;59;-0.003162133;-9.5363037E-4;0.3;0;0;43596054;199
0;0;1;60;-6.984566E-4;3.4010378E-4;0.3;0;0;43596062;200
0;0;1;61;0.0032216269;1.9383296E-7;0.3;0;0;43596074;201
0;0;1;57;0.0019843925;2.5828667E-11;0.3;0;0;43596082;202
0;0;1;57;0.0013105441;3.179692E-4;0.3;0;0;43596093;203
0;0;1;57;-3.0643397E-4;-6.302718E-4;0.3;0;0;43596101;204
0;0;1;57;-9.925682E-4;-6.579635E-4;0.3;0;0;43596113;205
0;0;1;59;-0.0022884712;-3.8695236E-4;0.3;0;0;43596121;206
0;0;1;58;-3.0710077E-4;-6.689133E-4;0.3;0;0;43596132;207
0;0;1;57;-0.0036980964;-6.3577667E-4;0.3;0;0;43596144;208
0;0;1;55;-0.002474451;0.001260201;0.3;0;0;43596152;209
0;0;1;57;-9.5741835E-4;2.0261216E-7;0.3;0;0;43596160;210
0;0;1;56;0.002332029;-6.6961936E-4;0.3;0;0;43596171;211
0;0;1;56;-6.4054853E-4;-6.697225E-4;0.3;0;0;43596179;212
0;0;1;55;-2.3690956E-5;3.2883466E-4;0.3;0;0;43596191;213
0;0;1;58;0.003700217;-0.0026892922;0.3;0;0;43596199;214
0;0;1;58;-0.0022567806;-3.9630004E-7;0.3;0;0;43596210;215
0;0;1;58;0.001793324;-0.0015472869;0.3;0;0;43596218;216
0;0;1;58;2.9218796E-4;-9.7051845E-4;0.3;0;0;43596230;217
0;0;1;60;0.0028013464;-3.238112E-4;0.3;0;0;43596238;218
0;0;1;58;2.1635351E-5;-5.3041304E-6;0.3;0;0;43596250;219
0;0;1;59;3.1270552E-5;-2.972537E-9;0.3;0;0;43596257;220
0;0;1;61;-0.002520283;-0.0012294982;0.3;0;0;43596269;221
0;0;1;57;-3.0791073E-4;0.0019314741;0.3;0;0;43596281;222
0;0;1;60;6.3599285E-4;-3.109188E-4;0.3;0;0;43596289;223
0;0;1;58;-6.4115546E-4;3.231868E-4;0.3;0;0;43596300;224
0;0;1;58;-0.0022744383;-9.807767E-4;0.3;0;0;43596308;225
0;0;1;57;-0.001198046;-0.0015634801;0.3;0;0;43596320;226
0;0;1;60;-6.532055E-4;9.928925E-4;0.3;0;0;43596328;227
0;0;1;62;-0.0027685561;-0.0019110821;0.3;0;0;43596339;228
0;0;1;57;-0.002035341;-2.776403E-7;0.3;0;0;43596347;229
0;0;1;59;-3.618637E-4;-0.0012712089;0.3;0;0;43596359;230
0;0;1;57;-3.2366454E-4;-1.1150954E-5;0.3;0;0;43596367;231
0;0;1;60;-0.002538619;-6.8021047E-9;0.3;0;0;43596378;232
0;0;1;59;-6.251107E-4;-1.019673E-12;0.3;0;0;43596386;233
0;0;1;58;-0.0016510449;-6.927462E-4;0.3;0;0;43596398;234
0;0;1;58;0.0012818758;-3.234806E-4;0.3;0;0;43596406;235
0;0;1;58;-0.006145042;6.20223E-4;0.3;0;0;43596417;236
0;0;1;59;4.429079E-6;9.2785534E-8;0.3;0;0;43596429;237
0;0;1;58;-2.6075519E-5;0.0025445512;0.3;0;0;43596437;238
0;0;1;57;-0.001014568;3.594905E-7;0.3;0;0;43596449;239
0;0;1;58;0.0011912249;-0.0012615224;0.3;0;0;43596457;240
0;0;1;58;-0.004514756;-1.8585706E-7;0.3;0;0;43596468;241
0;0;1;59;-3.465215E-4;-6.5204856E-4;0.3;0;0;43596476;242
0;0;1;58;-0.0010390485;-3.2367607E-4;0.3;0;0;43596488;243
0;0;1;54;0.002010421;3.7788769E-4;0.3;0;0;43596496;244
0;0;1;57;-0.0026192544;-0.0012976563;0.3;0;0;43596507;245
0;0;1;58;7.4947835E-5;7.643105E-4;0.3;0;0;43596515;246
0;0;1;60;0.003008309;2.1024522E-5;0.3;0;0;43596527;247
0;0;1;60;0.0031254683;-6.250079E-4;0.3;0;0;43596535;248
0;0;1;60;9.972338E-4;3.231917E-4;0.3;0;0;43596546;249
0;0;1;58;0.0012878458;0.0019075387;0.3;0;0;43596554;250
0;0;1;57;1.14393415E-5;1.1532289E-5;0.3;0;0;43596566;251
0;0;1;58;2.1552322E-4;2.2466955E-9;0.3;0;0;43596578;252
0;0;1;59;-3.1250386E-4;-0.0012659985;0.3;0;0;43596589;253
0;0;1;60;-0.0034695177;9.2064013E-4;0.3;0;0;43596597;254
0;0;1;59;-0.0028928;3.2857043E-4;0.3;0;0;43596609;255
0;0;1;59;0.0011796461;9.1599375E-8;0.3;0;0;43596617;256
0;0;1;59;3.6106276E-4;-3.17802E-4;0.3;0;0;43596628;257
0;0;1;58;0.0015529636;-0.0019917185;0.3;0;0;43596636;258
0;0;1;55;0.0013876767;-3.6570782E-4;0.3;0;0;43596648;259
0;0;1;60;-0.0012228136;6.1968237E-4;0.3;0;0;43596656;260
0;0;1;56;9.326248E-4;-9.242237E-4;0.3;0;0;43596667;261
0;0;1;62;5.920791E-4;3.1153794E-4;0.3;0;0;43596675;262
0;0;1;60;-0.0012400791;8.113673E-8;0.3;0;0;43596687;263
0;0;1;61;0.001808733;-9.1221486E-4;0.3;0;0;43596695;264
0;0;1;55;0.0010047355;-0.0020399478;0.3;0;0;43596707;265
0;0;1;56;3.5307833E-4;-3.593874E-4;0.3;0;0;43596714;266
0;0;1;58;-0.0028265438;-1.3419766E-7;0.3;0;0;43596726;267
0;0;1;57;-3.4529105E-5;3.347179E-4;0.3;0;0;43596738;268
0;0;1;57;0.002614408;0.0013046283;0.3;0;0;43596746;269
0;0;1;60;-0.0025661984;2.8528925E-4;0.3;0;0;43596757;270
0;0;1;59;9.074877E-4;9.874185E-4;0.3;0;0;43596765;271
0;0;1;57;3.2307557E-4;-5.5702403E-6;0.3;0;0;43596777;272
0;0;1;61;0.0020386917;-2.3706914E-5;0.3;0;0;43596785;273
0;0;1;60;9.5366617E-4;-9.851585E-4;0.3;0;0;43596796;274
0;0;1;59;0.0012986569;3.1751342E-4;0.3;0;0;43596804;275
0;0;1;58;-0.001912039;-0.0012712609;0.3;0;0;43596816;276
0;0;1;60;8.750267E-4;-0.005316098;0.3;0;0;43596824;277
0;0;1;61;4.543824E-4;-0.0025244853;0.3;0;0;43596835;278
0;0;1;58;-0.0022422452;-3.393554E-4;0.3;0;0;43596843;279
0;0;1;61;0.0034206044;0.0016224801;0.3;0;0;43596855;280
0;0;1;59;-0.001867535;5.769227E-6;0.3;0;0;43596863;281
0;0;1;59;-0.0025532742;1.0861915E-9;0.3;0;0;43596875;282
0;0;1;57;-6.684818E-4;-0.0019407584;0.3;0;0;43596886;283
0;0;1;58;0.0016045049;-3.5506044E-5;0.3;0;0;43596894;284
0;0;1;57;0.002003527;-0.0010044537;0.3;0;0;43596906;285
0;0;1;60;-0.0012335244;-9.430653E-4;0.3;0;0;43596914;286
0;0;1;58;0.0012169669;-6.4332405E-4;0.3;0;0;43596925;287
0;0;1;59;-2.7916627E-4;3.1742005E-4;0.3;0;0;43596933;288
0;0;1;59;-0.0018797397;5.5688784E-6;0.3;0;0;43596945;289
0;0;1;60;-3.345895E-4;-1.6162114E-5;0.3;0;0;43596953;290
0;0;1;60;-0.0015731826;-9.587755E-4;0.3;0;0;43596964;291
0;0;1;62;0.0018279424;-0.0018496299;0.3;0;0;43596972;292
0;0;1;61;-0.0012611275;-0.0013250668;0.3;0;0;43596984;293
0;0;1;59;-3.3991615E-4;-3.185506E-4;0.3;0;0;43596992;294
0;0;1;59;3.124047E-4;6.302022E-4;0.3;0;0;43597003;295
0;0;1;60;9.591347E-4;3.1806677E-4;0.3;0;0;43597011;296
0;0;1;57;-0.0025902868;-0.0010382938;0.3;0;0;43597027;297
0;0;1;57;-0.0014304958;-1.12454E-5;0.3;0;0;43597035;298
0;0;1;59;-6.6998065E-5;-9.5869205E-4;0.3;0;0;43597046;299
0;0;1;57;-0.0013334112;-3.3471646E-4;0.3;0;0;43597054;300
0;0;1;56;-6.531271E-4;-6.63775E-4;0.3;0;0;43597062;301
0;0;1;59;0.0029436075;-6.079267E-4;0.3;0;0;43597074;302
0;0;1;61;0.0012997839;-2.2536442E-5;0.3;0;0;43597082;303
0;0;1;61;-3.2866636E-4;-0.0013373717;0.3;0;0;43597093;304
0;0;1;60;0.002268144;-0.0032604614;0.3;0;0;43597101;305
0;0;1;57;-0.002296875;9.863734E-4;0.3;0;0;43597113;306
0;0;1;61;2.5660315E-4;6.538807E-4;0.3;0;0;43597125;307
0;0;1;58;-9.690387E-4;-6.4071565E-4;0.3;0;0;43597132;308
0;0;1;59;0.0013425172;-0.0012712972;0.3;0;0;43597144;309
0;0;1;58;3.7951395E-7;-1.0958644E-5;0.3;0;0;43597152;310
0;0;1;58;-9.5311116E-4;-0.001990726;0.3;0;0;43597160;311
0;0;1;60;-3.5059222E-4;-2.9824707E-7;0.3;0;0;43597175;312
0;0;1;57;0.0026084683;-3.4567737E-4;0.3;0;0;43597183;313
0;0;-1;57;0.0026084683;-3.4567737E-4;0.3;0;0;43597187;314
0;0;1;57;-0.003222754;-6.7483005E-4;0.3;0;0;43597195;315
0;0;1;57;-6.7032105E-4;-1.1648517E-5;0.3;0;0;43597203;316
0;0;1;59;0.0038512684;3.2903493E-4;0.3;0;0;43597210;317
0;0;1;59;1.4056568E-6;-6.299331E-4;0.3;0;0;43597222;318
0;0;1;59;0.0015210955;0.001169754;0.3;0;0;43597230;319
0;0;1;57;-3.351093E-4;-6.633847E-4;0.3;0;0;43597242;320
0;0;1;58;0.0048383074;0.001270712;0.3;0;0;43597250;321
0;0;1;59;-2.4058635E-4;-0.0016381169;0.3;0;0;43597261;322
0;0;1;58;6.0991524E-4;-1.6172999E-5;0.3;0;0;43597269;323
0;0;1;56;-0.0035408395;-0.0016282501;0.3;0;0;43597281;324
0;0;1;59;3.1076974E-4;6.291477E-4;0.3;0;0;43597289;325
0;0;1;56;2.7627393E-5;2.8551364E-4;0.3;0;0;43597300;326
0;0;1;60;-0.0010194535;-6.526137E-4;0.3;0;0;43597308;327
0;0;1;59;5.0963977E-6;-5.5770583E-6;0.3;0;0;43597320;328
0;0;1;59;3.1780382E-4;6.746218E-4;0.3;0;0;43597332;329
0;0;1;60;0.001583959;-5.4682923E-6;0.3;0;0;43597343;330
0;0;1;62;0.0016049689;6.2534143E-4;0.3;0;0;43597351;331
0;0;1;59;-3.1213847E-4;-6.3046726E-4;0.3;0;0;43597363;332
0;0;1;57;-0.0023140737;-9.4550686E-8;0.3;0;0;43597371;333
0;0;1;58;-6.695359E-4;-2.8106626E-11;0.3;0;0;43597382;334
0;0;1;57;6.398648E-4;-1.7162937E-14;0.3;0;0;43597390;335
0;0;1;59;-2.588559E-4;-9.377623E-4;0.3;0;0;43597402;336
0;0;1;60;-0.002549156;-3.4576864E-4;0.3;0;0;43597410;337
0;0;1;58;-3.2319146E-4;5.2933465E-6;0.3;0;0;43597421;338
0;0;1;59;2.1217475E-5;-0.0010020098;0.3;0;0;43597429;339
0;0;1;59;-6.027078E-4;0.001599658;0.3;0;0;43597441;340
0;0;1;61;-9.602279E-4;-9.1069756E-4;0.3;0;0;43597449;341
0;0;1;58;-2.12092E-5;-6.725914E-4;0.3;0;0;43597460;342
0;0;1;62;-0.0012493365;-3.2234454E-4;0.3;0;0;43597472;343
0;0;1;56;-0.0033485421;-0.0016355687;0.3;0;0;43597480;344
0;0;1;59;3.7035905E-5;-3.40792E-4;0.3;0;0;43597492;345
