index;navStatus;velBfx;velBfy;velBfz;velBfroll;velBfpitch;velBfyaw;velEfx;velEfy;velEfz;velEfroll;velEfpitch;velEfyaw;posx;posy;posz;posroll;pospitch;posyaw;groundSpeed;bearing;quality
1;0;-0.4152417;-1.1250526;-1.117347;-7.930985E-4;0.00279713;0.0026774285;-0.4286151;-1.120026;-1.117347;-7.930985E-4;0.00279713;0.0026774285;0.0;-0.018073007;-4.8882102E-6;-0.008496654;0.015133922;-0.011913373;0.031605504;-1.9275668;0.0
3;0;-0.42141148;-1.12853;-1.1174862;1.6079657E-4;0.0027834657;0.0029526746;-0.4348245;-1.1234301;-1.1174862;1.6079657E-4;0.0027834657;0.0029526746;0.0;-0.018073007;-0.04496122;-0.00788331;0.014877878;-0.011912158;1.1982138;-1.9372201;0.0
5;0;-0.4272208;-1.1316439;-1.1183118;-1.5842402E-4;-0.010090565;0.0069676316;-0.44068742;-1.126468;-1.1183118;-1.5842402E-4;-0.010090565;0.0069676316;0.0;-0.018073007;-0.089954704;-0.007892312;0.01483722;-0.011927209;1.2099103;-1.9408493;0.0
7;0;-0.4326635;-1.1347754;-1.1189731;-0.009095768;0.0035698651;-0.001316391;-0.44629914;-1.1294822;-1.1189731;-0.009095768;0.0035698651;-0.001316391;0.0;-0.036146015;-0.036699142;-0.008075726;0.014922249;-0.012044108;1.2185204;-1.9436287;0.0
9;0;-0.4388148;-1.138337;-1.1189203;-0.0041097645;0.0048974804;-0.002766195;-0.45264184;-1.13291;-1.1189203;-0.0041097645;0.0048974804;-0.002766195;0.0;-0.018073007;-0.08136633;-0.0076593393;0.014696137;-0.012175574;1.2239437;-1.9473302;0.0
11;0;-0.4443496;-1.141209;-1.1196527;0.011659334;6.913454E-4;-0.0037078317;-0.45824337;-1.1357013;-1.1196527;0.011659334;6.913454E-4;-0.0037078317;0.0;-0.018073007;-0.12601519;-0.0074993637;0.014753706;-0.012203919;1.2275915;-1.9513973;0.0
12;0;-0.44712928;-1.1428177;-1.1201631;0.009192824;-0.0035600672;-0.0059856954;-0.46112725;-1.1372417;-1.1201631;0.009192824;-0.0035600672;-0.0059856954;0.0;-0.018073007;-0.05507294;-0.0073439796;0.014759449;-0.012278425;1.2297652;-1.9530225;0.0
13;0;-0.45029962;-1.1448007;-1.1199144;-0.005218709;0.0042837113;-0.0024961017;-0.4642879;-1.1391994;-1.1199144;-0.005218709;0.0042837113;-0.0024961017;0.0;-0.018073007;-0.07724383;-0.007045146;0.014572922;-0.012248773;1.2321897;-1.9547619;0.0
14;0;-0.48394018;-1.0215307;-1.0865412;-0.004740718;-0.0039221654;0.0022497193;-0.49643913;-1.0155153;-1.0865412;-0.004740718;-0.0039221654;0.0022497193;-0.3797412;0.108438045;-0.09941026;-0.007041241;0.014511088;-0.012271479;1.2367545;-1.9983746;0.0
16;0;-0.48946574;-1.0228838;-1.0870849;-0.002393762;-0.0022151363;-0.008263333;-0.50197864;-1.0168016;-1.0870849;-0.002393762;-0.0022151363;-0.008263333;0.0;-0.018073007;-0.1424016;-0.0072053135;0.014534377;-0.01226928;1.1205689;-2.0447571;0.0
17;0;-0.4921053;-1.0240977;-1.0875263;0.004181721;0.007912009;-7.298486E-4;-0.50468624;-1.0179565;-1.0875263;0.004181721;0.007912009;-7.298486E-4;0.0;-0.018073007;-0.16392727;-0.007033155;0.014600554;-0.01232167;1.1307219;-2.0370648;0.0
18;0;-0.49482965;-1.0260192;-1.087219;0.0019487715;-0.0011791545;-0.008975591;-0.5075457;-1.0197887;-1.087219;0.0019487715;-0.0011791545;-0.008975591;0.0;-0.018073007;-0.061240666;-0.006304685;0.014562274;-0.01243115;1.1369212;-2.0341;0.0
20;0;-0.5003979;-1.0285535;-1.0878567;-0.0077226195;-0.0010054181;-0.0034397312;-0.51314956;-1.0222514;-1.0878567;-0.0077226195;-0.0010054181;-0.0034397312;0.0;-0.036146015;-0.1037775;-0.0065128966;0.0144297;-0.0124355685;1.1471639;-2.0330157;0.0
22;0;-0.50572217;-1.0307539;-1.0886898;-0.0054864814;-0.0027590683;0.001981502;-0.518476;-1.024398;-1.0886898;-0.0054864814;-0.0027590683;0.001981502;0.0;-0.018073007;-0.14632566;-0.006674134;0.014405443;-0.012411394;1.1509117;-2.0361528;0.0
24;0;-0.52179855;-0.9352744;-1.0389389;-0.005927598;0.0022776742;0.0025073346;-0.5334804;-0.9286607;-1.0389389;-0.005927598;0.0022776742;0.0025073346;0.0;0.108438045;-0.03898038;-0.005940823;0.014321155;-0.012534444;1.139891;-2.0466557;0.0
25;0;-0.5247873;-0.93491006;-1.0392021;0.0012745382;0.0012134234;0.010978823;-0.53637415;-0.92831105;-1.0392021;0.0012745382;0.0012134234;0.010978823;0.0;0.27109513;-0.058970366;-0.0059358566;0.0143752685;-0.012437265;1.0385582;-2.1106503;0.0
26;0;-0.5275277;-0.93608105;-1.0397102;0.0042467797;0.0015425296;0.004045785;-0.539089;-0.92947096;-1.0397102;0.0042467797;0.0015425296;0.004045785;0.0;-0.018073007;-0.078965805;-0.0058844616;0.014490116;-0.012394372;1.0581058;-2.10283;0.0
28;0;-0.53280824;-0.9392608;-1.0394166;0.0076733334;-0.0019565593;-0.008619506;-0.5445834;-0.9324829;-1.0394166;0.0076733334;-0.0019565593;-0.008619506;0.0;-0.018073007;-0.119001284;-0.004749779;0.014593416;-0.012581858;1.0766329;-2.098698;0.0
30;0;-0.5386035;-0.9410997;-1.0400293;0.009114096;0.0029400932;0.0056245057;-0.5502703;-0.93432593;-1.0400293;0.009114096;0.0029400932;0.0056245057;0.0;-0.018073007;-0.07518411;-0.0047011646;0.014631357;-0.012441643;1.0853149;-2.0998785;0.0
31;0;-0.54132414;-0.942055;-1.0402888;-0.006485703;0.0038571954;6.3640065E-5;-0.55308944;-0.935196;-1.0402888;-0.006485703;0.0038571954;6.3640065E-5;0.0;-0.018073007;-0.09502748;-0.004789286;0.01468657;-0.012534464;1.0882185;-2.1014225;0.0
32;0;-0.5441921;-0.942687;-1.0405527;0.0025978326;-5.6839455E-4;0.005188141;-0.55589294;-0.9358348;-1.0405527;0.0025978326;-5.6839455E-4;0.005188141;0.0;-0.018073007;-0.11488254;-0.0047519025;0.014708475;-0.012457346;1.0906793;-2.1030974;0.0
34;0;-0.54986966;-0.94526243;-1.0402256;-0.0074816514;-0.0019981703;-0.0017427601;-0.56164193;-0.9383156;-1.0402256;-0.0074816514;-0.0019981703;-0.0017427601;0.0;-0.018073007;-0.1545873;-0.0037726508;0.01494716;-0.012499725;1.0967717;-2.1057408;0.0
36;0;-0.5556289;-0.94658095;-1.041114;0.00672503;0.0011388157;0.0027747587;-0.56751895;-0.93950045;-1.041114;0.00672503;0.0011388157;0.0027747587;0.0;-0.018073007;-0.13506475;-0.0037029546;0.01505683;-0.012608054;1.1002533;-2.110133;0.0
37;0;-0.5584094;-0.94732857;-1.0414978;-0.00621291;0.0045248508;-0.007876404;-0.57040125;-0.9401568;-1.0414978;-0.00621291;0.0045248508;-0.007876404;0.0;-0.018073007;-0.15482034;-0.0036107488;0.015150057;-0.0127065405;1.1021576;-2.1121888;0.0
38;0;-0.56138134;-0.9489973;-1.0408415;-0.0013210117;0.0053469166;0.0053245984;-0.573365;-0.9418055;-1.0408415;-0.0013210117;0.0053469166;0.0053245984;0.0;0.0;-0.17458457;-0.002542078;0.015290274;-0.012675553;1.1022336;-2.1152132;0.0
39;0;-0.49122623;-0.826215;-0.9061468;0.0042564915;-0.0016540666;0.0025966165;-0.5015288;-0.820002;-0.9061468;0.0042564915;-0.0016540666;0.0025966165;0.0;0.12651105;-0.19433486;-0.0024911212;0.015304288;-0.012516501;1.0870866;-2.1248305;0.0
41;0;-0.49766654;-0.8255934;-0.90689516;-0.007641418;-2.8331298E-5;0.007500085;-0.5078159;-0.81938964;-0.90689516;-0.007641418;-2.8331298E-5;0.007500085;0.0;-0.018073007;-0.22842339;-0.002524332;0.015309407;-0.012339647;0.9489164;-2.1328597;0.0
42;0;-0.5004902;-0.8260257;-0.9074233;7.1944925E-4;0.011686119;0.0012264932;-0.5106918;-0.81975776;-0.9074233;7.1944925E-4;0.011686119;0.0012264932;0.0;-0.018073007;-0.14048651;-0.0025681988;0.01543131;-0.012397168;0.9594791;-2.129331;0.0
43;0;-0.50314605;-0.8274846;-0.90692455;0.008999216;0.0011781421;-0.0031988749;-0.513386;-0.8211708;-0.90692455;0.008999216;0.0011781421;-0.0031988749;0.0;-0.018073007;-0.15734625;-0.0011019477;0.015794745;-0.012422106;0.9657117;-2.12868;0.0
45;0;-0.50948536;-0.8277133;-0.90736896;-0.0011597639;-3.8794475E-4;0.0012947719;-0.51963055;-0.8213822;-0.90736896;-0.0011597639;-3.8794475E-4;0.0012947719;0.0;0.0;-0.19104819;-0.0011914123;0.01586101;-0.012303791;0.971486;-2.131839;0.0
46;0;-0.51260024;-0.82785416;-0.90779525;0.014066091;0.0046888585;0.0031562936;-0.5227536;-0.8214805;-0.90779525;0.014066091;0.0046888585;0.0031562936;0.0;-0.018073007;-0.20793761;-0.0010446357;0.015903018;-0.012311911;0.97472084;-2.1336188;0.0
47;0;-0.5155773;-0.8280104;-0.9082252;2.6476406E-4;-0.0017689965;-9.952086E-4;-0.5257707;-0.8215755;-0.9082252;2.6476406E-4;-0.0017689965;-9.952086E-4;0.0;-0.036146015;-0.22477782;-0.0010303085;0.015962515;-0.012358535;0.9791343;-2.1345313;0.0
49;0;-0.45458862;-0.7222894;-0.79097754;0.0074024703;0.0043050917;0.010649088;-0.46341932;-0.7166557;-0.79097754;0.0074024703;0.0043050917;0.010649088;0.3797412;0.12651107;-0.18032926;5.010985E-4;0.016387599;-0.012273659;0.951574;-2.1285667;0.0
50;0;-0.45834896;-0.721117;-0.79104227;-0.006105;-0.0028284471;-8.649606E-5;-0.4672179;-0.71540266;-0.79104227;-0.006105;-0.0028284471;-8.649606E-5;-0.3797412;0.19880308;-0.19458193;4.3040715E-4;0.016351629;-0.012347665;0.8496568;-2.2007484;0.0
51;0;-0.46132433;-0.72096354;-0.79139674;0.0100203045;-0.0021098694;-0.0049898843;-0.47020978;-0.7152001;-0.79139674;0.0100203045;-0.0021098694;-0.0049898843;0.0;-0.01807301;-0.20888612;5.7966675E-4;0.016345067;-0.012373732;0.854384;-2.1759124;0.0
53;0;-0.4673346;-0.72157395;-0.791439;0.0031588026;0.0035091834;-6.8351516E-4;-0.47637022;-0.71564096;-0.791439;0.0031588026;0.0035091834;-6.8351516E-4;0.0;-0.01807301;-0.23763202;0.0017759246;0.016718438;-0.012573656;0.85968906;-2.1611383;0.0
55;0;-0.47379124;-0.72108054;-0.7917841;0.0047342987;-5.9858384E-4;-2.512362E-4;-0.48276898;-0.71510094;-0.7917841;0.0047342987;-5.9858384E-4;-2.512362E-4;0.0;0.0;-0.16287708;0.0017398035;0.016773855;-0.012502061;0.863057;-2.1620605;0.0
57;0;-0.48012996;-0.71982557;-0.79272044;-0.004052631;0.0059874384;-7.963259E-4;-0.48914188;-0.7137323;-0.79272044;-0.004052631;0.0059874384;-7.963259E-4;0.0;-0.01807301;-0.19122751;0.0018249966;0.016910804;-0.01257265;0.8673376;-2.1662946;0.0
59;0;-0.48654282;-0.71967334;-0.79261196;0.0086538;0.003429044;-0.0043364754;-0.49546733;-0.7135585;-0.79261196;0.0086538;0.003429044;-0.0043364754;0.0;0.0;-0.21957359;0.0029920735;0.017346613;-0.012453547;0.8692996;-2.1732008;0.0
61;0;-0.49320954;-0.71825534;-0.79354453;0.012281206;-7.3779374E-6;-3.8274663E-4;-0.5021062;-0.71206445;-0.79354453;0.012281206;-7.3779374E-6;-3.8274663E-4;0.0;-0.01807301;-0.10362318;0.0031356262;0.017359857;-0.01243991;0.8744037;-2.1783078;0.0
63;0;-0.49950728;-0.7177403;-0.7936412;5.9126574E-4;0.002261994;-0.008942437;-0.50853956;-0.71136916;-0.7936412;5.9126574E-4;0.002261994;-0.008942437;0.0;-0.01807301;-0.13148728;0.0042440607;0.017743291;-0.012640294;0.87587035;-2.1865914;0.0
64;0;-0.459089;-0.65400094;-0.72438747;-0.0010357597;0.0021012574;-0.0014038058;-0.46723756;-0.64820445;-0.72438747;-0.0010357597;0.0021012574;-0.0014038058;0.0;0.07229204;-0.14540723;0.0041509904;0.017729772;-0.01251484;0.866973;-2.1966481;0.0
65;0;-0.46326438;-0.6522368;-0.7243998;0.004004166;-9.5205475E-4;-2.2928667E-4;-0.47143486;-0.64635587;-0.7243998;0.004004166;-9.5205475E-4;-2.2928667E-4;0.0;0.18073009;-0.15797846;0.004162777;0.017731627;-0.012583449;0.7792982;-2.2153702;0.0
66;0;-0.46674395;-0.65140086;-0.72477376;-0.0025531899;0.004613919;2.8421672E-4;-0.4748832;-0.64549124;-0.72477376;-0.0025531899;0.004613919;2.8421672E-4;0.0;-0.03614602;-0.08719778;0.0041351253;0.01780387;-0.012551751;0.7939063;-2.2076833;0.0
67;0;-0.4701227;-0.6506237;-0.7253216;0.0053457925;-0.0059920633;-5.91059E-4;-0.47827396;-0.6446554;-0.7253216;0.0053457925;-0.0059920633;-5.91059E-4;0.0;0.0;-0.0995754;0.0042263675;0.017733257;-0.012585927;0.7984519;-2.2086294;0.0
68;0;-0.47361344;-0.6503418;-0.7250256;0.0047604213;0.0038104309;0.0014324083;-0.48176888;-0.6443236;-0.7250256;0.0047604213;0.0038104309;0.0014324083;0.0;-0.01807301;-0.11196232;0.005275794;0.017860556;-0.012598418;0.80320823;-2.2093878;0.0
70;0;-0.48018172;-0.64825904;-0.7256399;0.0036123637;0.0016863253;-3.8980792E-4;-0.4882416;-0.6422106;-0.7256399;0.0036123637;0.0016863253;-3.8980792E-4;0.0;-0.01807301;-0.13674605;0.005364802;0.017936483;-0.012491264;0.8077703;-2.2154791;0.0
72;0;-0.48735827;-0.64586574;-0.7265183;8.7897456E-4;0.0017550387;2.7250673E-5;-0.49533775;-0.6397665;-0.7265183;8.7897456E-4;0.0017550387;2.7250673E-5;0.0;0.0;-0.05186928;0.005321491;0.018101947;-0.012413114;0.8095873;-2.224135;0.0
74;0;-0.41552514;-0.54055214;-0.6101943;0.0063736932;0.010824346;0.0038272976;-0.4221266;-0.5354128;-0.6101943;0.0063736932;0.010824346;0.0038272976;0.0;0.12651107;-0.07625453;0.0062992563;0.018409882;-0.012270641;0.796678;-2.2450442;0.0
75;0;-0.41963693;-0.5383765;-0.6105028;0.0015442902;0.004284592;0.0025749817;-0.42621282;-0.5331858;-0.6105028;0.0015442902;0.004284592;0.0025749817;0.0;0.12651107;-0.086345255;0.006201494;0.018491225;-0.012273286;0.66612786;-2.2598886;0.0
76;0;-0.42320415;-0.5371415;-0.6108259;0.0012962243;0.004720474;-0.007431;-0.4298232;-0.53185976;-0.6108259;0.0012962243;0.004720474;-0.007431;0.0;0.0;-0.095970415;0.006262283;0.018572409;-0.012383401;0.67486864;-2.2560766;0.0
78;0;-0.43060562;-0.5347018;-0.6113926;0.0053736144;0.0034327917;-0.0033704033;-0.43725994;-0.529274;-0.6113926;0.0053736144;0.0034327917;-0.0033704033;0.0;0.0;-0.009673156;0.006908385;0.018614372;-0.012508275;0.6841566;-2.2579339;0.0
80;0;-0.43792522;-0.53165716;-0.61210006;0.014767833;0.005015348;0.0049443375;-0.44437802;-0.5262756;-0.61210006;0.014767833;0.005015348;0.0049443375;0.0;0.0;-0.029019415;0.006943998;0.01875865;-0.012198759;0.6884979;-2.2663894;0.0
82;0;-0.4451561;-0.5285138;-0.61313164;-0.0023945766;0.00713436;-0.003207973;-0.45153353;-0.5230757;-0.61313164;-0.0023945766;0.00713436;-0.003207973;0.0;0.0;-0.04839733;0.007094813;0.018978467;-0.012129011;0.6911414;-2.2767758;0.0
84;0;-0.45221084;-0.52562207;-0.61356246;0.008633729;0.0016956292;-0.00513773;-0.45853075;-0.520118;-0.61356246;0.008633729;0.0016956292;-0.00513773;-0.3797412;0.0;-0.02993606;0.0075944597;0.019065283;-0.012086846;0.7256937;-2.3363786;0.0
85;0;-0.45587978;-0.52392995;-0.6139445;0.0069080973;0.0056612734;0.007633915;-0.4621516;-0.51840615;-0.6139445;0.0069080973;0.0056612734;0.007633915;0.0;-0.018073011;-0.039575607;0.0076346365;0.019144787;-0.012033959;0.71176606;-2.3160987;0.0
86;0;-0.45974118;-0.52242255;-0.6143167;0.0040478464;0.0023463392;-0.004452843;-0.4660344;-0.5168164;-0.6143167;0.0040478464;0.0023463392;-0.004452843;0.0;0.0;-0.04922313;0.0077813934;0.019198293;-0.012111122;0.70385605;-2.3106093;0.0
87;0;-0.46336794;-0.52080905;-0.6147965;-1.0513025E-4;-0.004131808;-2.4705008E-4;-0.46965912;-0.5151429;-0.6147965;-1.0513025E-4;-0.004131808;-2.4705008E-4;0.0;-0.018073011;-0.058877595;0.0077476557;0.019171655;-0.012145546;0.7023926;-2.3085032;0.0
88;0;-0.46693078;-0.51943994;-0.6150141;-9.022092E-4;0.0011750921;-0.0013788869;-0.47323316;-0.5137048;-0.6150141;-9.022092E-4;0.0011750921;-0.0013788869;0.0;0.0;-0.06854186;0.008118249;0.019170303;-0.012200244;0.70047694;-2.3122225;0.0
